Runtimes and Prizes for Instances of size 20
 Id | FPT_Prize | MLIP_Prize | FPT msec. | MLIP msec. |
 0  |   13      |    13      |    4      |    54      |
 1  |   16      |    16      |    4      |     8      |
 2  |   17      |    17      |    4      |    13      |
 3  |   14      |    14      |    3      |    15      |
 4  |   17      |    17      |    4      |    22      |
 5  |   13      |    13      |    3      |   212      |
 6  |   15      |    15      |    4      |    67      |
 7  |   15      |    15      |    4      |    33      |
 8  |   15      |    15      |    5      |    20      |
 9  |   15      |    15      |    4      |     9      |
10  |   14      |    14      |    4      |    84      |
11  |   15      |    15      |    5      |   150      |
12  |   16      |    16      |    4      |    41      |
13  |   16      |    16      |    4      |    15      |
14  |   15      |    15      |    4      |    67      |
15  |   15      |    15      |    3      |    28      |
16  |   16      |    16      |    5      |   171      |
17  |   13      |    13      |    3      |    51      |
18  |   14      |    14      |    3      |   106      |
19  |   12      |    12      |    3      |   103      |
20  |   13      |    13      |    4      |    12      |
21  |   13      |    13      |    4      |    56      |
22  |   15      |    15      |    5      |   116      |
23  |   15      |    15      |    4      |    14      |
24  |   13      |    13      |    4      |    68      |
25  |   15      |    15      |    7      |   171      |
26  |   16      |    16      |    5      |    19      |
27  |   13      |    13      |    4      |    28      |
28  |   13      |    13      |    5      |    47      |
29  |   13      |    13      |    4      |    71      |
30  |   14      |    14      |    4      |    91      |
31  |   15      |    15      |    4      |    11      |
32  |   16      |    16      |    5      |    45      |
33  |   18      |    18      |    6      |    81      |
34  |   16      |    16      |    6      |    31      |
35  |   14      |    14      |    4      |    15      |
36  |   14      |    14      |    7      |    75      |
37  |   16      |    16      |    7      |   266      |
38  |   16      |    16      |    5      |    17      |
39  |   14      |    14      |    5      |    16      |
40  |   15      |    15      |    5      |    17      |
41  |   17      |    17      |    6      |    22      |
42  |   14      |    14      |    8      |   266      |
43  |   15      |    15      |    5      |   138      |
44  |   14      |    14      |    4      |    16      |
45  |   13      |    13      |    4      |   174      |
46  |   17      |    17      |    7      |    84      |
47  |   15      |    15      |    5      |    53      |
48  |   14      |    14      |    6      |    39      |
49  |   16      |    16      |    7      |   484      |
