Optimal Tours for FPT solved instances of size: 25

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
  10   |   1   |   570     |   585     |     53/3 London Circuit, Canberra, ACT
  25   |   1   |587.02     |602.02     |     40 Mort Street, Braddon
  23   |   1   |602.83     |617.83     |     5/86-88 Northbourne Avenue, Braddon, ACT
  18   |   1   |   630     |   645     |     521/74 Northbourne Avenue, Braddon
   3   |   1   |   660     |   675     |     Nishi, NewActon
   4   |   1   |675.79     |690.79     |     1002/25 Edinburgh Avenue, Canberra, ACT
   5   |   1   |690.79     |705.79     |     25 Edinburgh Avenue, Acton - Nishi
   1   |   1   |705.88     |720.88     |     909/25 Edinburgh Avenue, Canberra
   7   |   1   |721.85     |736.85     |     604/19 Marcus Clarke Street, City
   6   |   1   |736.85     |751.85     |     510/19 Marcus Clarke Street, City
  15   |   1   |754.19     |769.19     |     45/77 Northbourne Avenue, Turner
  21   |   1   |772.31     |787.31     |     34 Currong Street South, Reid
  16   |   1   |   795     |   810     |     40/14 Boolee Street, Reid
   8   |   1   |   840     |   855     |     810/19 Marcus Clarke, Canberra
  14   |   1   |857.34     |872.34     |     145/77 Northbourne Avenue, Turner - The Avenue
  19   |   1   |   885     |   900     |     705/74 Northbourne Avenue, Braddon
   9   |   1   |  1005     |  1020     |     28/1 Gordon Street, Canberra, ACT

Path for instance 1
 LocId | Prize |  Arrival  |   Leave   |     Location
  18   |   1   |   570     |   585     |     14 Timboram Street, Amaroo
  20   |   1   |585.99     |600.99     |     74 Shoalhaven Avenue, Amaroo
  12   |   1   |602.19     |617.19     |     11 Cooloola Street, Amaroo
   9   |   1   |618.71     |633.71     |     24 Mission Street, Amaroo
  16   |   1   |637.34     |652.34     |     33/6 Gungahlin Place, Gungahlin
  22   |   1   | 653.3     | 668.3     |     77 Gozzard Street, Gungahlin
  24   |   1   |673.28     |688.28     |     2/1 Burnum Burnum Close, Bonner
  11   |   1   |   720     |   735     |     57 Turbayne Crescent, Forde
  21   |   1   |   765     |   780     |     7 Braggett Street, Gungahlin
   6   |   1   |783.88     |798.88     |     3 Arndt Street, Forde
   8   |   1   |798.98     |813.98     |     8 Arndt Street, Forde
   7   |   1   |814.44     |829.44     |     23 Quinane Avenue, Forde
  23   |   1   | 833.5     | 848.5     |     90 Burdekin Avenue, Amaroo
  19   |   1   |   885     |   900     |     22 Helen Turner Street, Gungahlin
   3   |   1   |902.75     |917.75     |     31 Neil Harris Crescent, Forde
   2   |   1   |   945     |   960     |     1 Allnutt Crescent, Forde

Path for instance 2
 LocId | Prize |  Arrival  |   Leave   |     Location
  15   |   1   |   600     |   615     |     5/15 Braybrooke Street, Bruce, ACT
  16   |   1   |   615     |   630     |     Unit 56/15 Braybrook Street, Bruce
  13   |   1   |631.05     |646.05     |     9 Braybrooke Street, Bruce
  20   |   1   |649.93     |664.93     |     Stockman Avenue, Lawson, ACT
  25   |   1   |665.64     |680.64     |     14 Rouseabout Street, Lawson
   2   |   1   |684.48     |699.48     |     41/8 Baudinette Circuit, Bruce - Verve
   8   |   1   |701.26     |716.26     |     18 Tandy Close, Bruce
  19   |   1   |   720     |   735     |     Wanderlight Avenue, Lawson
   3   |   1   |738.71     |753.71     |     107/9 Watkin Street, Bruce
  24   |   1   |757.58     |772.58     |     3 Jumbuck Crescent, Lawson, ACT
   1   |   1   |   780     |   795     |     108/8 Baudinette Circuit, Bruce
   6   |   1   |796.13     |811.13     |     12/1 Eardley Street, Bruce
   5   |   1   |811.13     |826.13     |     10/1 Eardley Street, Bruce
  10   |   1   |827.26     |842.26     |     70/120 Thynne Street, Bruce
   4   |   1   |843.34     |858.34     |     41/2 Eardley Street, Bruce
  12   |   1   |859.94     |874.94     |     14/101 Kinloch Circuit, Bruce

Path for instance 3
 LocId | Prize |  Arrival  |   Leave   |     Location
  12   |   1   |   510     |   525     |     4/2 Mundawari Circuit, Ngunnawal
  13   |   1   |   555     |   570     |     78 Amagula Avenue, Ngunnawal
   9   |   1   |   585     |   600     |     2/3 Bural Court, Ngunnawal
   3   |   1   | 602.9     | 617.9     |     7/123 Kelleway Avenue, Nicholls
   5   |   1   |618.89     |633.89     |     18 Overall Avenue, Casey
  10   |   1   |635.07     |650.07     |     1 Cartledge Street, Casey
  15   |   1   |654.45     |669.45     |     1/2 Aroona Court, Ngunnawal
  24   |   1   | 671.5     | 686.5     |     5 Gang-gang Court, Ngunnawal
  14   |   1   |   690     |   705     |     2 Noble Close, Ngunnawal
  16   |   1   |   720     |   735     |     10 Hendry Close, Nicholls
  25   |   1   |736.22     |751.22     |     47 Sue Geh Circuit, Nicholls
  19   |   1   |   795     |   810     |     58 Bargang Crescent, Ngunnawal
  21   |   1   |812.18     |827.18     |     41/16 David Miller Crescent, Casey
  22   |   1   |828.75     |843.75     |     14 Rattigan Street, Casey
   8   |   1   |849.61     |864.61     |     3 Wendy Ey Place, Nicholls

Path for instance 4
 LocId | Prize |  Arrival  |   Leave   |     Location
  14   |   1   |   510     |   525     |     4/2 Mundawari Circuit, Ngunnawal
  24   |   1   |   540     |   555     |     1/217 Kosciuszko Avenue, Palmerston
  17   |   1   |557.85     |572.85     |     78 Amagula Avenue, Ngunnawal
  18   |   1   |   585     |   600     |     2/3 Bural Court, Ngunnawal
   4   |   1   | 602.9     | 617.9     |     7/123 Kelleway Avenue, Nicholls
   6   |   1   |618.89     |633.89     |     18 Overall Avenue, Casey
  10   |   1   |635.07     |650.07     |     1 Cartledge Street, Casey
   8   |   1   |653.41     |668.41     |     5 Decima Circuit, Nicholls
   7   |   1   |668.97     |683.97     |     16 Paisley Street, Nicholls
  25   |   1   |688.18     |703.18     |     13 Bott Crescent, Casey
  13   |   1   | 707.3     | 722.3     |     2 Noble Close, Ngunnawal
  23   |   1   |726.18     |741.18     |     44/16 David Miller Crescent, Casey
  20   |   1   |743.45     |758.45     |     1 Akma Place, Ngunnawal
  19   |   1   |   795     |   810     |     58 Bargang Crescent, Ngunnawal
  21   |   1   |812.18     |827.18     |     41/16 David Miller Crescent, Casey
  22   |   1   |828.75     |843.75     |     14 Rattigan Street, Casey
   3   |   1   |849.61     |864.61     |     3 Wendy Ey Place, Nicholls

Path for instance 5
 LocId | Prize |  Arrival  |   Leave   |     Location
   2   |   1   |   510     |   525     |     4/2 Mundawari Circuit, Ngunnawal
  21   |   1   |   555     |   570     |     78 Amagula Avenue, Ngunnawal
  13   |   1   |573.12     |588.12     |     25 Warrumbul Street, Ngunnawal
  11   |   1   |591.14     |606.14     |     2/3 Bural Court, Ngunnawal
  17   |   1   |609.04     |624.04     |     7/123 Kelleway Avenue, Nicholls
  12   |   1   |625.03     |640.03     |     18 Overall Avenue, Casey
   6   |   1   |643.36     |658.36     |     19 Giliruk Crescent, Ngunnawal
  14   |   1   |661.53     |676.53     |     13 Bott Crescent, Casey
  23   |   1   |677.37     |692.37     |     10 Gourgaud Street, Casey
  19   |   1   |692.74     |707.74     |     15 Mcgovern Street, Casey
  20   |   1   |708.82     |723.82     |     17 Kowalski Street, Casey
  10   |   1   |726.97     |741.97     |     44/16 David Miller Crescent, Casey
   5   |   1   |   744     |   759     |     14/11 Tarra Place, Ngunnawal
  25   |   1   |761.23     |776.23     |     166 Plimsoll Drive, Casey
   1   |   1   |   795     |   810     |     58 Bargang Crescent, Ngunnawal
   8   |   1   |812.18     |827.18     |     41/16 David Miller Crescent, Casey
  22   |   1   |829.72     |844.72     |     3 Ronald Walker Street, Casey
   9   |   1   |846.17     |861.17     |     14 Rattigan Street, Casey
  24   |   1   |863.86     |878.86     |     36 Critchley Street, Casey

Path for instance 6
 LocId | Prize |  Arrival  |   Leave   |     Location
  16   |   1   |   510     |   525     |     9/6 Howitt Street, Kingston
  10   |   1   |   540     |   555     |     Throsby Life, Throsby, ACT
  19   |   1   |557.52     |572.52     |     18/17 Trevillian Quay, Kingston
   9   |   1   |   600     |   615     |     57/53 Dawes Street, Kingston
   7   |   1   |615.85     |630.85     |     10 Parbery Street, Kingston
   3   |   1   |632.39     |647.39     |     403/2 Kerridge Street, Kingston, ACT
   2   |   1   |647.65     |662.65     |     211/15 Kerridge Street, Kingston
   4   |   1   |663.42     |678.42     |     56/1 Honeysett View, Kingston, ACT
  12   |   1   |679.51     |694.51     |     8/8/71 Giles Street, Kingston
  24   |   1   |695.71     |710.71     |     17a/43-51 Giles Street, Kingston
  22   |   1   |710.96     |725.96     |     4/8 Howitt Street, Kingston
  25   |   1   |726.77     |741.77     |     21/15 Howitt Street, Kingston
   1   |   1   |743.82     |758.82     |     Kerridge Street, Kingston - Northshore
   5   |   1   |759.47     |774.47     |     Honeysett View, Kingston, ACT
  23   |   1   |775.92     |790.92     |     162/67 Giles Street, Kingston
  17   |   1   |   810     |   825     |     29/21 Eastlake Parade, Kingston
   6   |   1   |825.95     |840.95     |     124/50 Eastlake Parade, Kingston
   8   |   1   |   870     |   885     |     126/53 Eyre Street, Kingston

Path for instance 7
