Optimal Tours for MLIP solved instances of size: 25

Path for instance 0
 LocId | Prize |  Arrival  |   Leave   |     Location
  10   |   1   |   570     |   585     |     53/3 London Circuit, Canberra, ACT
  25   |   1   |587.02     |602.02     |     40 Mort Street, Braddon
  23   |   1   |   615     |   630     |     5/86-88 Northbourne Avenue, Braddon, ACT
  18   |   1   |641.68     |656.68     |     521/74 Northbourne Avenue, Braddon
   5   |   1   |   660     |   675     |     25 Edinburgh Avenue, Acton - Nishi
   4   |   1   |   675     |   690     |     1002/25 Edinburgh Avenue, Canberra, ACT
   3   |   1   |691.64     |706.64     |     Nishi, NewActon
   2   |   1   |706.64     |721.64     |     1205/19 Marcus Clarke Street, City - NewActon East
   7   |   1   |722.66     |737.66     |     604/19 Marcus Clarke Street, City
   6   |   1   |737.66     |752.66     |     510/19 Marcus Clarke Street, City
  15   |   1   |   755     |   770     |     45/77 Northbourne Avenue, Turner
  21   |   1   |   780     |   795     |     34 Currong Street South, Reid
  16   |   1   |   810     |   825     |     40/14 Boolee Street, Reid
   8   |   1   |   840     |   855     |     810/19 Marcus Clarke, Canberra
  14   |   1   |   870     |   885     |     145/77 Northbourne Avenue, Turner - The Avenue
  19   |   1   |   915     |   930     |     705/74 Northbourne Avenue, Braddon
   9   |   1   |  1005     |  1020     |     28/1 Gordon Street, Canberra, ACT

Path for instance 1
 LocId | Prize |  Arrival  |   Leave   |     Location
  18   |   1   |   570     |   585     |     14 Timboram Street, Amaroo
  20   |   1   |585.99     |600.99     |     74 Shoalhaven Avenue, Amaroo
   9   |   1   |602.97     |617.97     |     24 Mission Street, Amaroo
  14   |   1   |621.42     |636.42     |     3/17 Tea Gardens, Gungahlin
  16   |   1   |646.19     |661.19     |     33/6 Gungahlin Place, Gungahlin
  24   |   1   |666.14     |681.14     |     2/1 Burnum Burnum Close, Bonner
   5   |   1   |   685     |   700     |     25 Tom Nicholas Crescent, Forde
  11   |   1   |   720     |   735     |     57 Turbayne Crescent, Forde
  21   |   1   |   765     |   780     |     7 Braggett Street, Gungahlin
  25   |   1   | 781.9     | 796.9     |     1/30 Bembrick Street, Gungahlin
   8   |   1   |801.05     |816.05     |     8 Arndt Street, Forde
   4   |   1   |821.16     |836.16     |     25 Ray Ellis Crescent, Forde
  23   |   1   |   840     |   855     |     90 Burdekin Avenue, Amaroo
  19   |   1   |   885     |   900     |     22 Helen Turner Street, Gungahlin
   3   |   1   |   915     |   930     |     31 Neil Harris Crescent, Forde
   2   |   1   |   945     |   960     |     1 Allnutt Crescent, Forde

Path for instance 2
 LocId | Prize |  Arrival  |   Leave   |     Location
  15   |   1   |   600     |   615     |     5/15 Braybrooke Street, Bruce, ACT
  16   |   1   |   615     |   630     |     Unit 56/15 Braybrook Street, Bruce
  13   |   1   |631.05     |646.05     |     9 Braybrooke Street, Bruce
  20   |   1   |649.93     |664.93     |     Stockman Avenue, Lawson, ACT
  25   |   1   |665.64     |680.64     |     14 Rouseabout Street, Lawson
   2   |   1   |684.48     |699.48     |     41/8 Baudinette Circuit, Bruce - Verve
  22   |   1   |709.16     |724.16     |     5/36 Crisp Circuit, Bruce
  24   |   1   |728.91     |743.91     |     3 Jumbuck Crescent, Lawson, ACT
  19   |   1   |745.17     |760.17     |     Wanderlight Avenue, Lawson
   3   |   1   |763.88     |778.88     |     107/9 Watkin Street, Bruce
   1   |   1   |   780     |   795     |     108/8 Baudinette Circuit, Bruce
   6   |   1   |796.13     |811.13     |     12/1 Eardley Street, Bruce
   5   |   1   |811.13     |826.13     |     10/1 Eardley Street, Bruce
  21   |   1   |828.62     |843.62     |     Stockman Avenue, , ACT
   4   |   1   |846.58     |861.58     |     41/2 Eardley Street, Bruce
  12   |   1   |   870     |   885     |     14/101 Kinloch Circuit, Bruce

Path for instance 3
 LocId | Prize |  Arrival  |   Leave   |     Location
  12   |   1   |   525     |   540     |     4/2 Mundawari Circuit, Ngunnawal
  13   |   1   |   555     |   570     |     78 Amagula Avenue, Ngunnawal
   9   |   1   |   585     |   600     |     2/3 Bural Court, Ngunnawal
   3   |   1   | 602.9     | 617.9     |     7/123 Kelleway Avenue, Nicholls
   5   |   1   |618.89     |633.89     |     18 Overall Avenue, Casey
  10   |   1   |635.07     |650.07     |     1 Cartledge Street, Casey
   4   |   1   |659.44     |674.44     |     5 Decima Circuit, Nicholls
   2   |   1   |   675     |   690     |     16 Paisley Street, Nicholls
  14   |   1   |699.38     |714.38     |     2 Noble Close, Ngunnawal
  16   |   1   |   720     |   735     |     10 Hendry Close, Nicholls
  20   |   1   |   750     |   765     |     1 Akma Place, Ngunnawal
  19   |   1   |   795     |   810     |     58 Bargang Crescent, Ngunnawal
  21   |   1   |812.18     |827.18     |     41/16 David Miller Crescent, Casey
  22   |   1   |844.14     |859.14     |     14 Rattigan Street, Casey
   8   |   1   |   865     |   880     |     3 Wendy Ey Place, Nicholls

Path for instance 4
 LocId | Prize |  Arrival  |   Leave   |     Location
  14   |   1   |   510     |   525     |     4/2 Mundawari Circuit, Ngunnawal
  24   |   1   |   540     |   555     |     1/217 Kosciuszko Avenue, Palmerston
  17   |   1   |557.85     |572.85     |     78 Amagula Avenue, Ngunnawal
  18   |   1   |   585     |   600     |     2/3 Bural Court, Ngunnawal
   4   |   1   | 602.9     | 617.9     |     7/123 Kelleway Avenue, Nicholls
   6   |   1   |618.89     |633.89     |     18 Overall Avenue, Casey
  10   |   1   |635.52     |650.52     |     1 Cartledge Street, Casey
   8   |   1   |655.23     |670.23     |     5 Decima Circuit, Nicholls
   7   |   1   |670.79     |685.79     |     16 Paisley Street, Nicholls
  25   |   1   |   690     |   705     |     13 Bott Crescent, Casey
  13   |   1   |709.12     |724.12     |     2 Noble Close, Ngunnawal
   2   |   1   |729.74     |744.74     |     10 Hendry Close, Nicholls
   1   |   1   |749.17     |764.17     |     47 Sue Geh Circuit, Nicholls
  19   |   1   |   795     |   810     |     58 Bargang Crescent, Ngunnawal
  21   |   1   |812.18     |827.18     |     41/16 David Miller Crescent, Casey
  22   |   1   |844.14     |859.14     |     14 Rattigan Street, Casey
   3   |   1   |   865     |   880     |     3 Wendy Ey Place, Nicholls

Path for instance 5
 LocId | Prize |  Arrival  |   Leave   |     Location
   2   |   1   |   525     |   540     |     4/2 Mundawari Circuit, Ngunnawal
  21   |   1   |   555     |   570     |     78 Amagula Avenue, Ngunnawal
  13   |   1   |573.12     |588.12     |     25 Warrumbul Street, Ngunnawal
  11   |   1   |591.14     |606.14     |     2/3 Bural Court, Ngunnawal
  17   |   1   |609.04     |624.04     |     7/123 Kelleway Avenue, Nicholls
   6   |   1   |   630     |   645     |     19 Giliruk Crescent, Ngunnawal
   3   |   1   | 646.7     | 661.7     |     1/2 Aroona Court, Ngunnawal
  16   |   1   |666.07     |681.07     |     31/15 Andersch Street, Casey, ACT
  14   |   1   |682.54     |697.54     |     13 Bott Crescent, Casey
  19   |   1   | 698.5     | 713.5     |     15 Mcgovern Street, Casey
  20   |   1   |714.58     |729.58     |     17 Kowalski Street, Casey
  10   |   1   |732.73     |747.73     |     44/16 David Miller Crescent, Casey
   4   |   1   |   750     |   765     |     1 Akma Place, Ngunnawal
  25   |   1   |   775     |   790     |     166 Plimsoll Drive, Casey
   1   |   1   |   795     |   810     |     58 Bargang Crescent, Ngunnawal
   8   |   1   |812.18     |827.18     |     41/16 David Miller Crescent, Casey
  22   |   1   |   835     |   850     |     3 Ronald Walker Street, Casey
   9   |   1   |851.45     |866.45     |     14 Rattigan Street, Casey
  24   |   1   |   870     |   885     |     36 Critchley Street, Casey

Path for instance 6
 LocId | Prize |  Arrival  |   Leave   |     Location
  16   |   1   |   510     |   525     |     9/6 Howitt Street, Kingston
  19   |   1   |   555     |   570     |     18/17 Trevillian Quay, Kingston
  10   |   1   |572.63     |587.63     |     Throsby Life, Throsby, ACT
   9   |   1   |   600     |   615     |     57/53 Dawes Street, Kingston
   7   |   1   |615.85     |630.85     |     10 Parbery Street, Kingston
   3   |   1   |632.39     |647.39     |     403/2 Kerridge Street, Kingston, ACT
   2   |   1   |647.65     |662.65     |     211/15 Kerridge Street, Kingston
  12   |   1   |664.51     |679.51     |     8/8/71 Giles Street, Kingston
  15   |   1   |680.38     |695.38     |     1/14 Trevillian Quay, Kingston, ACT
  24   |   1   |697.01     |712.01     |     17a/43-51 Giles Street, Kingston
  11   |   1   |713.06     |728.06     |     29/47 Eyre Street, Kingston - Wentworth Gardens
  25   |   1   |729.56     |744.56     |     21/15 Howitt Street, Kingston
   5   |   1   |746.15     |761.15     |     Honeysett View, Kingston, ACT
  23   |   1   |   765     |   780     |     162/67 Giles Street, Kingston
   1   |   1   |781.69     |796.69     |     Kerridge Street, Kingston - Northshore
  17   |   1   |   825     |   840     |     29/21 Eastlake Parade, Kingston
   6   |   1   |   870     |   885     |     124/50 Eastlake Parade, Kingston
   8   |   1   |   915     |   930     |     126/53 Eyre Street, Kingston

Path for instance 7
